ip,hostname,port,service,product,version,extrainfo
192.168.56.1,,135,msrpc,Microsoft Windows RPC,,
192.168.56.1,,137,netbios-ns,,,
192.168.56.1,,139,netbios-ssn,Microsoft Windows netbios-ssn,,
192.168.56.1,,445,microsoft-ds,,,
192.168.56.1,,3296,http,Node.js Express framework,,
192.168.56.1,,3306,mysql,MariaDB,11.6.2,
192.168.56.1,,5040,,,,
192.168.56.1,,7680,pando-pub,,,
192.168.56.1,,8000,http,Splunkd httpd,,
192.168.56.1,,8089,http,Splunkd httpd,,
192.168.56.1,,8191,limnerpressure,,,
192.168.56.1,,49664,msrpc,Microsoft Windows RPC,,
192.168.56.1,,49665,msrpc,Microsoft Windows RPC,,
192.168.56.1,,49668,msrpc,Microsoft Windows RPC,,
192.168.56.1,,49669,msrpc,Microsoft Windows RPC,,
192.168.56.1,,49670,msrpc,Microsoft Windows RPC,,
192.168.56.1,,49680,msrpc,Microsoft Windows RPC,,
